Neuron Name,SKID,SKID in V14?,Classification,DN Type,Status,DT Hemisphere,Soma Hemisphere,ID,Annotations
GF input neuron 1085146 - unclassified type 108,1085145,True,DNp type 14,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 14', 'Unidentified DN', 'CardLab', 'CAT-Ongoing', 'Descending Neuron', 'Bilateral', 'RIGHT HEMISPHERE', 'Heterolateral', 'PCBR', 'Sensorimotor', 'GF1 input neuron', 'Input to GF1 soma tract', 'split from GF input neuron 874045 MAR', 'connectives', 'GC', 'Unclassified GF input neuron - Descending', 'CAN_L', 'GNG', 'AVLP_R', 'EPA_R', 'FLA_L', 'GOR_R', 'IB_R', 'ICL_R', 'LAL_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'VES_R', 'SPS_R', 'VES_L', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 108']"
Neuron 1088726 split from GF input neuron 1075689 MAR,1088725,True,,DNa,duplicate - auto,Right,RIGHT HEMISPHERE,Miscellaneous DNa,"['miscellaneous DNa', 'Unidentified DN', 'DNa', 'right DT', 'RIGHT HEMISPHERE', 'Descending Neuron', 'duplicate - auto', 'Yellow Large Neurons', 'CardLab', 'mAL upstream', 'mAL_notcomp_contra']"
pMP2 candidate 1148116 IT,1148115,True,DNp type 11,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['long middle tract', 'left DT', 'RIGHT HEMISPHERE', 'Typed DN', 'DNp type 11', 'DNp', 'Descending Neuron', 'aSP-g tract not aSP-g', 'Arch Tract 560058 GSXEJ', 'WT Meeting 11/2017', 'Right Hemisphere', 'post-MBON to PPL1 like by Li', 'Post MBON a2p3p', 'Post MBON a2p3p Complete 170628', 'Post MBON a2p3p Complete', 'CAT-Ongoing', 'pMP2 candidate', 'neuron 2038216 MERGE WITH ASP-G ARCH TRACT DESCENDING NEURON', 'aSP-g tract', 'Volker_Lineage: DPMpl1', 'ItoLee_Lineage: SMPpv1', 'ItoLee_Hemilineage: SMPpv1', 'Lineage_annotated', 'Volker_Hemilineage: DPMpl1', 'pMP11', 'JefferisLab']"
Cervical Nerve Neuron 1167859 SI,1167858,True,DNp type 13,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 13', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'rLPTCIN output neuron', 'LPTCIN output neuron', 'Synapses Complete Between It And The LPTCs', 'Cervical Nerve Neuron', 'Neck Motor Neuron', 'CN6']"
CN presynaptic input neuron 1214079 SI,1214078,True,,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Unidentified DN,"['Bilateral', 'LEFT HEMISPHERE', 'DNg', 'duplicate - manual', 'Unidentified DN', 'right DT', 'Descending Neuron', 'Putative Ascending Neuron']"
neuron 1228134,1228133,True,,DNg,duplicate - manual,Right,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'duplicate - manual', 'right DT', 'LEFT HEMISPHERE', 'Unidentified DN', 'DNg', 'Descending Neuron']"
aSIP Ben Nevis mAL downstream 1255101 KM IT,1255100,True,,,Putative_Ascending,,,,"['Putative_Ascending', 'Ascending Neuron', 'JefferisLab', 'mAL - pMP8', 'mAL downstream', 'downstream of mAL', 'IT_cVA', 'aSIP L', 'aSIP', 'IT_for_graph', 'Descending Neuron', 'pMN2 Input', 'pMP8 Output', 'mAL upstream 8792485 unique neurons', 'mAL upstream 8792485', 'cVA circuit_IV', 'cVA circuit_L']"
aSP-g arch tract descending neuron pMP2 candidate 1133388 IT,1273223,True,DNp type 11,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['long middle tract', 'left DT', 'RIGHT HEMISPHERE', 'Typed DN', 'DNp type 11', 'DNp', 'Descending Neuron', 'aSP-g tract', 'pMP2 candidate', 'ASB LHN', 'Right Hemisphere', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'PS_LHN_042019_10um', 'JefferisLab', 'Volker_Lineage: DPMpl1', 'ItoLee_Lineage: SMPpv1', 'ItoLee_Hemilineage: SMPpv1', 'Lineage_annotated', 'Volker_Hemilineage: DPMpl1', 'CAT-Ongoing', 'pMP11']"
ChaMARCM-F000402_seg001 neuron 1274823 GSXEJ,1274822,True,DNp23,DNp,duplicate - manual,Left,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'Identified DN', 'DNp23', 'duplicate - manual', 'left DT', 'RIGHT HEMISPHERE', 'DNp', 'Descending Neuron', 'registration landmarks', 'Marta LR Matched']"
pMP2 candidate 1282616 GSXEJ,1282615,True,DNp type 11,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['long middle tract', 'left DT', 'RIGHT HEMISPHERE', 'Typed DN', 'DNp type 11', 'DNp', 'Descending Neuron', 'Remy temp y5 all downstream', 'Remy temp y5 only downstream', 'Right Hemisphere', 'downstream of y5 as of 11 03 2017', 'Putative pMP11/2', 'NOT JWT FOR Y5', 'PS_LHN_042019_100um', 'PS_LHN_042019_10um', 'Huoviala2019:DA2DS_other_Cluster6', 'Volker_Lineage: DPMpl1', 'ItoLee_Lineage: SMPpv1', 'ItoLee_Hemilineage: SMPpv1', 'Lineage_annotated', 'pMP11', 'Volker_Hemilineage: DPMpl1', 'CAT-Ongoing', 'downstream of sampler', 'Paper: Huoviala et al 2018', 'FML - downstream of Caligari dendrite', 'neuron 5489325', 'FML - downstream of DA2', 'NM check for Li y5', 'pMP2 candidate', 'FML - huoviala2017 preprint DA2ds', 'FML - huoviala2017 preprint DA2ds other', 'FML - other', 'FML - huoviala2017 preprint', 'IT_for_graph', 'Huoviala2018:DA2DSCluster52', 'FML - downstream of first DA2', 'FML - downstream of first DA2 - initial sample', 'FML - preprint other', 'Huoviala2018:sampled_DA2ds_5+']"
Cervical Nerve Neuron 1337778 SI,1337777,True,DNp type 13,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 13', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'CN7']"
neuron 1630571 KS,1630570,True,putative DNp16/17,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'putative_DNp16/17', 'Chiappe-DN', 'ChiappeLab', 'uLPTCIN output neuron', 'LPTCIN output neuron', 'IPS_R', 'VNC', 'SPS_R', 'putative p16', 'putative p17', 'Descending Neuron']"
pMP13 1656646 RP CMP,1656645,True,DNp type 17,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 17', 'right DT', 'DNp', 'LEFT HEMISPHERE', 'Unidentified DN', 'CardLab', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab', 'Left Hemisphere', 'forknalln1', 'IT_for_graph', 'pMP11']"
neuron 1668146 RP CMP,1668145,True,DNp type 11,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'right DT', 'DNp', 'Typed DN', 'DNp type 11', 'LEFT HEMISPHERE', 'Unidentified DN', 'CardLab', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab']"
pMP11 1668731 RP CMP,1668730,True,DNp type 11,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 11', 'right DT', 'DNp', 'LEFT HEMISPHERE', 'Unidentified DN', 'CardLab', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab', 'Left Hemisphere', 'pMP11 L', 'IT_for_graph', 'pMP11']"
neuron 1700843 RP,1700842,True,DNp type 9,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['Bilateral', 'right DT', 'DNp', 'Unidentified DN', 'Typed DN', 'LEFT HEMISPHERE', 'DNp type 9', 'Descending Neuron', 'aSP-g L_downstream_lone', 'aSP-g L downstream (no group)', 'CAT-Ongoing', 'aSP-g L downstream']"
Putative pMP1 1772785 RP CMP,1772784,True,DNp type 17,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 17', 'right DT', 'DNp', 'Unidentified DN', 'LEFT HEMISPHERE', 'Descending Neuron', 'Left Hemisphere', 'CAT-Ongoing', 'DicksonLab', 'pMP8 Output', 'C6 Output']"
Putative pMP1 1791922 RP CMP,1791921,True,DNp type 17,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 17', 'right DT', 'DNp', 'LEFT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab', 'Left Hemisphere']"
Putative pMP11 1828517 RP CMP,1828516,True,DNp type 19,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 19', 'right DT', 'DNp', 'LEFT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab', 'Left Hemisphere', 'forknalln1', 'pMP11 L', 'IT_for_graph', 'pMP11', 'pMP8 Output']"
aSIP Half Dome mAL downstream 2125956 KM,2125955,True,,,Putative_Ascending,,,,"['Putative_Ascending', 'Ascending Neuron', 'mAL downstream', 'Connected to pMP8', 'mAL - pMP8', 'Kimberly_screen', 'JefferisLab', 'Upstream of aIP-g', 'IT_cVA', 'N2 Sampler Widget Partners', 'CAT-Ongoing', 'DicksonLab', 'aSIP', 'aSIP R', 'IT_for_graph', 'Descending Neuron', 'pMN2 Input', 'mAL upstream 1334553', 'mAL upstream 1334553 unique']"
GF input neuron 2163257 MAR SMA - unclassified type 109,2163256,True,DNp type 15,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNp', 'Typed DN', 'DNp type 15', 'Unidentified DN', 'CardLab', 'Input to GF1 soma tract', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'GF1 input neuron', 'Descending Neuron', 'in bundle with aIP neurons_not of interest', 'PCBR', 'Homolateral', 'connectives', 'Unclassified GF input neuron - Descending', 'GNG', 'AVLP_R', 'FB', 'EPA_R', 'IPS_R', 'GOR_R', 'ICL_R', 'LAL_R', 'PLP_R', 'PVLP_R', 'VES_R', 'WED_R', 'Unilateral', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 109']"
pMP11 2436831 CMP NF,2436830,True,DNp type 19,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 19', 'right DT', 'DNp', 'CardLab', 'LEFT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'forknalln1', 'CAT-Ongoing', 'Left Hemisphere', 'DicksonLab', 'pMP11 L', 'IT_for_graph', 'pMP11', 'pMP8 Output', 'C6 Output']"
GF input neuron 285546 GMC SM MAR SMA JSP - unclassified type 18,2437415,True,DNp type 7,DNp,Complete,Left,RIGHT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 7', 'Unidentified DN', 'Unclassified GF input neuron - type 18', 'Postsynaptic to LC4', 'CAT-Ongoing', 'in bundle with aIP neurons_not of interest', 'RIGHT HEMISPHERE', 'Input to GF2 medial', 'Input to GF1 soma tract', 'Input to GF1 medial', 'Input to GF1 lateral', 'Bilateral', 'CardLab', 'GF1 input neuron', 'Descending Neuron', 'GF2 input neuron', 'Postsynaptic to LPLC2', 'PCBR', 'Heterolateral', 'connectives', 'Visual_Interneuron', 'GC', 'CAN_L', 'FLA_R', 'GNG', 'AVLP_R', 'FB', 'CAN_R', 'EPA_R', 'GOR_L', 'GOR_R', 'IB_L', 'IB_R', 'ICL_R', 'LAL_R', 'SCL_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'SMP_R', 'VES_R', 'SPS_R', 'WED_R', 'Input to GF1 anterior', 'projection neuron', 'Ipsilateral']"
GF input neuron 2437628 JSP - unclassified type 110,2437627,True,,DNc,duplicate - manual,Right,RIGHT HEMISPHERE,Miscellaneous DNp,"['duplicate - manual', 'miscellaneous DNp', 'right DT', 'DNc', 'DNp', 'Unidentified DN', 'GF1 input neuron', 'Descending Neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'Input to GF1 medial', 'not a PN', 'MCBR', 'Homolateral', 'connectives', 'Unclassified GF input neuron - Descending', 'ATL_R', 'FB', 'CAN_R', 'CRE_R', 'IB_R', 'EPA_R', 'FLA_R', 'GNG', 'GOR_R', 'ICL_R', 'LAL_R', 'MB_whole_R', 'PLP_R', 'PVLP_R', 'VES_R', 'SPS_R', 'SMP_R', 'Unilateral', 'Ipsilateral', 'projection neuron', 'WTPN2017_mALT_lALT_base', 'Unclassified GF input neuron - type 110']"
GF input neuron 2439410 SMA JSP - unclassified type 111,2439409,True,DNp103,DNp,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['Hiro_Dropbox_DNs', 'Identified DN', 'DNp103', 'left DT', 'DNp', 'Unidentified DN', 'Input to GF1 soma tract', 'postsynaptic to LC6', 'CAT-Ongoing', 'Input to GF1 lateral', 'Input to GF1 medial', 'Postsynaptic to LPLC3', 'RIGHT HEMISPHERE', 'LHN_JUNE_2017_NON_PN', 'CardLab', 'LHN_JUNE_2017', 'Descending Neuron', 'Postsynaptic to LPLC1', 'in bundle with aIP neurons_not of interest', 'Bilateral', 'Input to GF1 anterior', 'GF1 input neuron', 'ReiserLab-collaborating', 'Postsynaptic to LPLC2', 'Postsynaptic to LC4', 'Heterolateral', 'PCBR', 'input from LC6 medial', 'downstream of LC6', 'connectives', 'Visual_Interneuron', 'Unclassified GF input neuron - Descending', 'SET-2', 'GC', 'ICL_R', 'AMMC_R', 'PLP_R', 'PVLP_R', 'GOR_R', 'IB_R', 'EPA_R', 'GNG', 'IB_L', 'VES_R', 'SPS_R', 'AVLP_R', 'CAN_L', 'WED_R', 'SPS_L', 'SCL_R', 'SAD', 'Ipsilateral', 'projection neuron', 'Unclassified GF input neuron - type 111']"
neuron 2444528 RP CMP,2444527,True,DNp type 17,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'Typed DN', 'DNp type 17', 'right DT', 'DNp', 'Unidentified DN', 'LEFT HEMISPHERE', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab']"
GF input neuron 2693624 JSP - unclassified type 3,2693623,True,DNp type 8,DNp,Complete,Left,LEFT HEMISPHERE,Typed DN,"['left DT', 'DNp', 'Typed DN', 'DNp type 8', 'Unidentified DN', 'Input to GF1 lateral', 'LEFT HEMISPHERE', 'Input to GF2 anterior', 'Bilateral', 'GF1 input neuron', 'Descending Neuron', 'CAT-Ongoing', 'Input to GF2 lateral', 'GF2 input neuron', 'PCBR', 'GC', 'connectives', 'Input to GF1 medial', 'CardLab', 'Unclassified GF input neuron - type 3', 'GNG', 'AVLP_L', 'EPA_L', 'FB', 'EPA_R', 'FLA_L', 'GOR_L', 'GOR_R', 'IB_L', 'IB_R', 'ICL_L', 'IPS_L', 'ICL_R', 'WED_L', 'PVLP_L', 'PLP_L', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'VES_L', 'Heterolateral', 'contralateral', 'projection neuron']"
Putative pMP11 2736372 RP,2736371,True,DNp type 11,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['long middle tract', 'right DT', 'DNp', 'Typed DN', 'DNp type 11', 'LEFT HEMISPHERE', 'Unidentified DN', 'CardLab', 'Descending Neuron', 'CAT-Ongoing', 'DicksonLab', 'Left Hemisphere', 'pMP11 L', 'IT_for_graph', 'pMP11']"
neuron 2741043 RP ET,2741042,True,DNp27,DNp,Complete,Right,LEFT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'Identified DN', 'DNp27', 'LEFT HEMISPHERE', 'right DT', 'DNp', 'CAT-Ongoing', 'DN_Autoseg_Exploration', 'dense core vesicles', 'Descending Neuron', 'CardLab']"
LPTC input 2741367 ME,2741366,True,DNb02,DNb,Complete,Right,LEFT HEMISPHERE,Identified DN,"['DNb02', 'Published in Namiki 2018', 'right DT', 'DNb', 'LEFT HEMISPHERE', 'Identified DN', 'ChiappeLab', 'Descending Neuron', 'GNG', 'IPS_L', 'Left Hemisphere', 'Chiappe-DN', 'IPS_R', 'Putative B2 DN', 'putative DNb02', 'HS input neuron']"
LPTC input 2745986 ME,2745985,True,DNb02,DNb,duplicate - manual,Right,LEFT HEMISPHERE,Identified DN,"['duplicate - manual', 'DNb02', 'Published in Namiki 2018', 'right DT', 'DNb', 'LEFT HEMISPHERE', 'Identified DN', 'Chiappe-DN', 'uLPTCIN input neuron', 'VNC', 'GNG', 'rLPTCIN input neuron', 'Putative B2 DN', 'IPS_R', 'Left Hemisphere', 'Descending Neuron', 'IPS_L', 'LPTCIN input neuron', 'ChiappeLab', 'putative DNb02', 'HS input neuron']"
GF input neuron 2799233 JSP - unclassified type 112,2799232,True,,DNg,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'left DT', 'DNg', 'Unidentified DN', 'CAT-Ongoing', 'CardLab', 'RIGHT HEMISPHERE', 'Descending Neuron', 'GCBR', 'GF1 input neuron', 'Input to GF1 anterior', 'connectives', 'Unclassified GF input neuron - Descending', 'postsynaptic to JONeuron', 'AMMC_R', 'GNG', 'SAD', 'WED_R', 'Unilateral', 'Homolateral', 'midLine', 'projection neuron', 'Unclassified GF input neuron - type 112']"
SPN right 2930845 JS,2930844,True,DNg30,DNg,Complete,Left,RIGHT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'Identified DN', 'DNg30', 'left DT', 'DNg', 'RIGHT HEMISPHERE', 'Descending Neuron', 'PS_LHN_042019_100um', 'PS_LHN_042019_10um', 'Huoviala2019:DA2DS_other_Cluster10', 'Paper: Huoviala et al 2018', 'LHN_JUNE_2017', 'DA2 downstream LHN', 'RJVR', 'ASB LHN', 'FML - downstream of DA2', 'LHN_JUNE_2017_NON_PN', 'dense core vesicles 1764982 RJVR', 'CAT-Ongoing', 'ReiserLab', 'JS_SPN_Candidate', 'around_ped_4186_nonRD-bundle_zz', 'around_ped_4186_zz', 'JS_MVP2_to_SPN', 'hidden4186_nonbundle', 'hidden4186_nonRD', 'FML - huoviala2017 preprint DA2ds', 'FML - huoviala2017 preprint DA2ds other', 'FML - other', 'FML - huoviala2017 preprint', 'JS_SPN_to_MP1', 'Huoviala2018:DA2DSCluster44', 'FML - downstream of first DA2', 'FML - downstream of first DA2 - initial sample', 'FML - preprint other']"
GF input neuron 2968801 JSP - unclassified type 18,2968800,True,DNp type 7,DNp,Complete,Right,LEFT HEMISPHERE,Typed DN,"['right DT', 'DNp', 'Typed DN', 'DNp type 7', 'Unidentified DN', 'Unclassified GF input neuron - type 18', 'GF1 input neuron', 'Input to GF2 medial', 'Bilateral', 'LEFT HEMISPHERE', 'CAT-Ongoing', 'Descending Neuron', 'CardLab', 'Input to GF2 lateral', 'GF2 input neuron', 'Input to GF1 medial', 'in bundle with aIP neurons_not of interest', 'Kathi in bundle too posterior', 'PCBR', 'Heterolateral', 'connectives', 'GC', 'AVLP_L', 'FB', 'CAN_L', 'CAN_R', 'EPA_L', 'IB_L', 'IB_R', 'GNG', 'GOR_R', 'ICL_R', 'PLP_L', 'PVLP_L', 'SAD', 'VES_L', 'SPS_R', 'SPS_L', 'LO_L', 'projection neuron', 'contralateral']"
