Neuron Name,SKID,SKID in V14?,Annotation Info,Specific Annotation,Annotations
aSIP Half Dome mAL downstream 2125956 KM,2125955,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'Putative_Ascending', 'Ascending Neuron', 'mAL downstream', 'Connected to pMP8', 'mAL - pMP8', 'Kimberly_screen', 'JefferisLab', 'Upstream of aIP-g', 'IT_cVA', 'N2 Sampler Widget Partners', 'CAT-Ongoing', 'DicksonLab', 'aSIP', 'aSIP R', 'IT_for_graph', 'Descending Neuron', 'pMN2 Input', 'mAL upstream 1334553', 'mAL upstream 1334553 unique']"
LPTC input 2455456 ME,2455455,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'IPS_L', 'ChiappeLab', 'GNG', 'IPS_R', 'Chiappe-Putative AN', 'Putative Ascending Neuron', 'HS input neuron']"
LPTC input 2455572 ME,2455571,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'ChiappeLab', 'GNG', 'SPS_L', 'Chiappe-Putative AN', 'HS input neuron', 'Putative Ascending Neuron', 'SAD', 'IPS_L', 'IPS_R']"
GF input neuron 2642964 JSP - unclassified type 102,2642963,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Input to GF2 descending tract', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'CardLab', 'Ascending Neuron', 'Input to GF1 medial', 'Bilateral', 'connectives', 'UnknownTracts', 'Unclassified GF input neuron - Ascending', 'GF2 input neuron', 'CAN_L', 'CAN_R', 'EPA_R', 'GNG', 'GOR_R', 'IPS_L', 'SAD', 'WED_R', 'VES_R', 'VES_L', 'SPS_R', 'SPS_L', 'projection neuron', 'Heterolateral', 'midLine', 'Unclassified GF input neuron - type 102']"
GF input neuron 2798936 MAR - unclassified type 17,2798935,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 anterior', 'CAT-Ongoing', 'CardLab', 'Unclassified GF input neuron - type 17', 'Ascending Neuron', 'connectives', 'AMMC:ammc', 'postsynaptic to JONeuron', 'AMMC_R', 'GNG', 'AVLP_R', 'SAD', 'WED_R', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
GF input neuron 2799980 JSP - unclassified type 32,2799979,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'dark cytosol', 'Bilateral', 'LEFT HEMISPHERE', 'Ascending Neuron', 'Input to GF2 anterior', 'GF2 input neuron', 'Unclassified GF input neuron - type 32', 'AMMC:ammc', 'connectives', 'AMMC_R', 'GNG', 'SAD', 'AMMC_L', 'CAT-Ongoing', 'CardLab', 'GF1 input neuron', 'Input to GF1 anterior', 'Heterolateral', 'projection neuron', 'contralateral', 'putative MDHn']"
GF input neuron 2973243 MAR JSP- unclassified type 17,2973242,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Unclassified GF input neuron - type 17', 'Input to GF1 anterior', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'CardLab', 'Ascending Neuron', 'dark cytosol', 'connectives', 'AMMC:ammc', 'AMMC_R', 'GNG', 'AVLP_R', 'PVLP_R', 'SAD', 'WED_R', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
GF input neuron 2975598 MAR JSP - unclassified type 17,2975597,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'CardLab', 'Input to GF1 lateral', 'RIGHT HEMISPHERE', 'dark cytosol', 'Unclassified GF input neuron - type 17', 'Ascending Neuron', 'Input to GF1 anterior', 'GF1 input neuron', 'connectives', 'AMMC:ammc', 'Postsynaptic to LC4', 'AMMC_R', 'GNG', 'AVLP_R', 'PVLP_R', 'SAD', 'WED_R', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
GF input neuron 3385432 SMA ET- unclassified type 103,3385431,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Ascending Neuron', 'RIGHT HEMISPHERE', 'CardLab', 'CAT-Ongoing', 'GF1 input neuron', 'Input to GF1 anterior', 'connectives', 'Unclassified GF input neuron - Ascending', 'postsynaptic to JONeuron', 'AMMC_R', 'GNG', 'WED_R', 'AVLP_R', 'SAD', 'Unilateral', 'Homolateral', 'projection neuron', 'Ipsilateral', 'Unclassified GF input neuron - type 103']"
neuron 3411318 ME,3411317,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GNG', 'rLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'VNC', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
GF input neuron 3483246 SMA - unclassified type 17,3483245,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'CardLab', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'Input to GF1 anterior', 'CAT-Ongoing', 'Input to GF1 lateral', 'Ascending Neuron', 'Unclassified GF input neuron - type 17', 'dark cytosol', 'connectives', 'AMMC:ammc', 'GNG', 'AVLP_R', 'PVLP_R', 'SAD', 'WED_R', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
GF input neuron 3483711 JSP - unclassified type 32,3483710,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'AMMC:ammc', 'connectives', 'Input to GF2 anterior', 'dark cytosol', 'GF2 input neuron', 'GF1 input neuron', 'CardLab', 'Bilateral', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 anterior', 'Ascending Neuron', 'Unclassified GF input neuron - type 32', 'AMMC_R', 'GNG', 'WED_L', 'SAD', 'VES_R', 'WED_R', 'Heterolateral', 'projection neuron', 'Ipsilateral']"
GF input neuron 3578338 JSP - unclassified type 17,3578337,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Incomplete neuron', 'GF1 input neuron', 'CardLab', 'Input to GF1 lateral', 'RIGHT HEMISPHERE', 'Ascending Neuron', 'Searching for JO-A', 'CardLab-collaborating', 'CAT-Ongoing', 'dark cytosol', 'connectives', 'AMMC:ammc', 'Unclassified GF input neuron - type 17', 'postsynaptic to JONeuron', 'AMMC_R', 'AVLP_R', 'GNG', 'PVLP_R', 'SAD', 'WED_R', 'Input to GF1 anterior', 'Unilateral', 'projection neuron', 'Homolateral', 'Ipsilateral']"
Putative TPN {lALT} 3905662 Hoatzin RJVR ,3905661,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT_sample', 'to do RJV$', 'to do RJVR', 'SCHLEGEL lALT', 'jolene upstream', 'ASB putative TPN', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right']"
Unknown PN 3909885 Prisoner24601 SD,3909884,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'SD Project', 'ASB putative TPN']"
Putative TPN 3917176 Marius SD,3917175,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'SD Project', 'SCHLEGEL lALT', 'ASB putative TPN', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_bypass_LH', 'WTPN2017_non_olf', 'WTPN2017_right', 'ascending neuron_sexually dimorphic circuit', 'ascending neuron_sexually dimorphic circuit_R']"
Putative TPN {lALT} 4017749 Quail RJVR ,4017748,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'jolene upstream', 'ASB putative TPN', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'Paper: Dolan et al. 2019 EXTRA', 'Paper: Dolan et al. 2019', 'VNC-PN1#1', 'WTPN2017_right']"
Not in lALT neuron 4142685,4142684,True,Ascending,Putative_Ascending,"['duplicate - manual', 'Putative_Ascending']"
TPN-1 4633344 Pheasant PS ASB,4633343,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT_sample', 'to do RJV$', 'to do RJVR', 'SCHLEGEL lALT', 'ASB putative TPN', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right']"
Putative TPN 4633356,4633355,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right', 'WTPN2017_bypass_LH']"
Ascending lALT 4633367 PS,4633366,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'WTPN2017_lALT_sample', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'LH_DONE', 'putative taste PN Kim2017', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right']"
Potential TPN lALT 4633426,4633425,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'JS upstream SPN AVLP', 'WTPN2017_right', 'JS upstream SPN', 'WTPN2017_bypass_LH']"
Potential TPN lALT 4633436,4633435,True,Ascending,Putative_Ascending,"['duplicate - manual', 'Putative_Ascending', 'WTPN2017_lALT', 'WTPN2017_lALT_right', 'WTPN2017_bypass_AL', 'WTPN2017_bypass_LH', 'WTPN2017_non_olf', 'WTPN2017_right']"
Put TPN lALT 4633448,4633447,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_bypass_LH', 'WTPN2017_bypass_AL', 'WTPN2017_right', 'WTPN2017_non_olf']"
neuron 4633512,4633511,True,Ascending,Putative_Ascending,"['duplicate - manual', 'Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_right', 'WTPN2017_bypass_AL', 'WTPN2017_bypass_LH', 'WTPN2017_non_olf']"
Ascending lALT 4634138 PS,4634137,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_bypass_LH', 'putative taste PN Kim2017', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right', 'WTPN2017_lALT_sample', 'SCHLEGEL lALT', 'WTPN2017_lALT_right']"
Ascending lALT 4634212 RJVR,4634211,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT_sample', 'WTPN2017_bypass_LH', 'SCHLEGEL lALT', 'putative taste PN Kim2017', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_right', 'JS upstream Nujabes', 'JS upstream SPN left']"
neuron 4634217,4634216,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT_sample', 'to do RJV$', 'to do RJVR', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'v14 upload', 'BM', 'v14-seg: 96235862', 'SD SEZ PN', 'neuron upload', 'v14-seg: 370405544', 'WTPN2017_non_olf', 'WTPN2017_right', 'WTPN2017_bypass_LH']"
not lALT 4634261,4634260,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'duplicate - manual']"
neuron 4634308,4634307,True,Ascending,Putative_Ascending,"['duplicate - manual', 'Putative_Ascending', 'WTPN2017_lALT_right', 'SCHLEGEL lALT', 'WTPN2017_lALT', 'WTPN2017_right', 'WTPN2017_bypass_LH', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf']"
neuron 4704348 KS,4704347,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'ChiappeLab', 'uLPTCIN input neuron', 'Ascending Neuron', 'VNC', 'GNG', 'Chiappe-AN', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 4704429 MB,4704428,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'VNC', 'ChiappeLab', 'Putative Ascending Neuron', 'Chiappe-Putative AN', 'GNG']"
neuron 4704588 MB,4704587,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'ChiappeLab', 'bLPTCIN input neuron', 'Putative Ascending Neuron', 'LPTCIN input neuron', 'Chiappe-Putative AN', 'VNC', 'GNG']"
neuron 4706135 ME,4706134,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'ChiappeLab', 'FlyWire_ground_truth', 'Chiappe-AN-Unclassified', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 4707510 ME,4707509,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'bLPTCIN input neuron', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'ChiappeLab', 'VNC', 'rLPTCIN input neuron', 'FlyWire_ground_truth', 'LAL_R', 'GNG', 'IPS_R', 'SPS_R', 'Ascending Neuron', 'Chiappe-AN-TypeIV', 'Chiappe-Right', 'Complete Morphology', 'ME_uAN_Type4', 'Chiappe-AN']"
neuron 4709651 ME,4709650,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeIII', 'Chiappe-Left', 'Complete Morphology', 'Chiappe-AN']"
neuron 4709724 ME,4709723,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'rLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeIII', 'Chiappe-Left', 'Complete Morphology', 'Chiappe-AN']"
GF input neuron 4710845 SMA - unclassified type 104,4710844,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'WTPN2017_lALT_right', 'WTPN2017_lALT_sample', 'to do RJV$', 'to do RJVR', 'SCHLEGEL lALT', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'CardLab', 'GF1 input neuron', 'WTPN2017_lALT', 'WTPN2017_bypass_AL', 'WTPN2017_non_olf', 'WTPN2017_bypass_LH', 'WTPN2017_right', 'connectives', 'Ascending Neuron', 'Unclassified GF input neuron - Ascending', 'AVLP_R', 'GNG', 'LAL_R', 'PVLP_R', 'SAD', 'VES_R', 'WED_R', 'Input to GF1 lateral', 'Unilateral', 'Homolateral', 'projection neuron', 'midLine', 'Unclassified GF input neuron - type 104']"
neuron 4808297 KS,4808296,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'Chiappe-AN-TypeI', 'Chiappe-Left', 'Chiappe-AN', 'ChiappeLab', 'Ascending Neuron', 'GNG', 'VNC', 'uLPTCIN input neuron', 'ME-AN-TypeI', 'Left Hemisphere']"
neuron 4813671 ME,4813670,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'rLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'GNG', 'SAD', 'Chiappe-Ongoing', 'uLPTCIN input neuron']"
neuron 4814588 ME,4814587,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'ChiappeLab', 'Putative Ascending Neuron', 'LPTCIN input neuron', 'GNG', 'VNC', 'rLPTCIN input neuron', 'Left Hemisphere']"
neuron 4934303 ME,4934302,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Chiappe-Putative AN', 'LPTCIN input neuron', 'IPS_R', 'rLPTCIN input neuron', 'Putative Ascending Neuron', 'uLPTCIN input neuron', 'GNG', 'ChiappeLab', 'VCN Input neuron 393484', 'VNC', 'Right Hemisphere']"
neuron 4934343 ME,4934342,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'ChiappeLab', 'VNC', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'GNG', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 4934542 ME,4934541,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'GNG', 'rLPTCIN input neuron', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 4934960 ME,4934959,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
GF input neuron 5198057 JSP - unclassified type 105,5198056,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'Ascending Neuron', 'duplicated', 'connectives', 'Input to GF1 anterior', 'CardLab', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'GF1 input neuron', 'VES_R', 'downstream of aBN1', 'Unilateral', 'Homolateral', 'Ipsilateral', 'Unclassified GF input neuron - Ascending', 'WED_R', 'projection neuron', 'AMMC_R', 'SAD', 'GNG', 'Unclassified GF input neuron - type 105']"
neuron 5207530 ME,5207529,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GNG', 'ChiappeLab', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5207572 ME,5207571,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'ChiappeLab', 'VNC', 'GNG', 'uLPTCIN input neuron', 'Ascending Neuron', 'LPTCIN input neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5207612 ME,5207611,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'ChiappeLab', 'uLPTCIN input neuron', 'GNG', 'LPTCIN input neuron', 'Chiappe-Putative AN', 'Putative Ascending Neuron', 'ongoing', 'Chiappe-Ongoing', 'Right Hemisphere']"
neuron 5207719 ME,5207718,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'ChiappeLab', 'GNG', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'VNC', 'FlyWire_ground_truth', 'Chiappe-AN-Unclassified', 'IPS_R', 'Ascending Neuron', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5207730 ME,5207729,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'GNG', 'VNC', 'rLPTCIN input neuron', 'Ascending Neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5207777 ME,5207776,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'ChiappeLab', 'VNC', 'GNG', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'rLPTCIN input neuron', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5207824 ME,5207823,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'ChiappeLab', 'GNG', 'VNC', 'Ascending Neuron', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5207902 ME,5207901,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'LPTCIN input neuron', 'ChiappeLab', 'VNC', 'Ascending Neuron', 'uLPTCIN input neuron', 'GNG', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5221673 ME,5221672,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'uLPTCIN input neuron', 'rLPTCIN input neuron', 'GNG', 'ChiappeLab', 'LPTCIN input neuron', 'Ascending Neuron', 'VNC', 'FlyWire_ground_truth', 'Chiappe-Right', 'Chiappe-AN-TypeIII', 'Complete Morphology', 'Chiappe-AN']"
neuron 5221695 ME,5221694,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'LPTCIN input neuron', 'GNG', 'uLPTCIN input neuron', 'ChiappeLab', 'VNC', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5221751 ME,5221750,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'VNC', 'IPS_R', 'GNG', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-Right', 'Chiappe-AN-TypeIII', 'Complete Morphology', 'Chiappe-AN']"
neuron 5221797 ME,5221796,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'GNG', 'Ascending Neuron', 'VNC', 'ChiappeLab', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'Chiappe-AN-TypeI', 'FlyWire_ground_truth', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'ME-AN-TypeI', 'Right Hemisphere']"
neuron 5221810 ME,5221809,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'FlyWire_ground_truth', 'GNG', 'ChiappeLab', 'VCN001 input neuron 274043 GMC', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'VNC', 'Ascending Neuron', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5222192 ME,5222191,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'uLPTCIN input neuron', 'ChiappeLab', 'VNC', 'GNG', 'LPTCIN input neuron', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeII', 'Chiappe-Right', 'Complete Morphology', 'Chiappe-AN', 'Right Hemisphere']"
neuron 5222231 ME,5222230,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'VNC', 'ChiappeLab', 'LPTCIN input neuron', 'uLPTCIN input neuron', 'GNG', 'bLPTCIN input neuron', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-Right', 'Chiappe-AN-TypeIII', 'Complete Morphology', 'Chiappe-AN']"
neuron 5222253 ME,5222252,True,Ascending,Ascending Neuron,"['right DT', 'Putative_Ascending', 'bLPTCIN input neuron', 'uLPTCIN input neuron', 'LPTCIN input neuron', 'ChiappeLab', 'IPS_R', 'GNG', 'Ascending Neuron', 'VNC', 'FlyWire_ground_truth', 'Chiappe-Right', 'Chiappe-AN-TypeIII', 'Complete Morphology', 'Chiappe-AN']"
