Neuron Name,skeletonID,GF1 Synapse Count,annotations
GF input neuron 296640 GMC SM JSP - unclassified type 57,296639,8,"['GF2 input neuron', 'LEFT HEMISPHERE', 'CardLab', 'Bilateral', 'Input to GF2 anterior', 'Input to GF1 lateral', 'GF1 input neuron', 'CAT-Ongoing', 'ACBR', 'presynaptic to LC4', 'GC', 'Unclassified GF input neuron - type 57', 'Postsynaptic to LC4', 'Visual_Interneuron', 'AVLP_R', 'GA_L', 'GOR_L', 'ICL_L', 'LAL_L', 'WED_L', 'PVLP_L', 'PLP_L', 'SPS_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'WED_R', 'AMMC_L', 'Heterolateral', 'projection neuron', 'contralateral']"
GF input neuron 308073 GMC JSP - GCI,308072,34,"['GF1 input neuron', 'GCI', 'LEFT HEMISPHERE', 'CardLab', 'CAT-Ongoing', 'Input to GF1 medial', 'Input to GF1 lateral', 'Bilateral', 'Postsynaptic to LC4', 'PCBR', 'GC', 'Visual_Interneuron', 'AVLP_L', 'GOR_R', 'EPA_R', 'WED_L', 'PVLP_L', 'PLP_L', 'SPS_R', 'PVLP_R', 'SAD', 'SPS_L', 'VES_R', 'Input to GF1 soma tract', 'contralateral', 'projection neuron', 'Heterolateral']"
putative LC4 neuron 308339 GMC SMA,308338,66,"['neuron 14474792', 'GF1 input neuron', 'putative LC4 neuron', 'LO-R', 'Unilateral', 'AVLP_R', 'PVLP_R', 'neuron 14080414', 'v14-seg-li-190805.0 upload CATCard', 'Homolateral', 'WED_R', 'CardLab', 'neuron 14112931', 'Input to GF1 lateral', 'neuron 14287976', 'Visual', 'Postsynaptic to LPLC2', 'Import', 'neuron 9645653', 'LO_R', 'LCBR', 'VPN', 'neuron 14474756', 'CAT-Ongoing', 'neuron 14474780', 'PLP_R', 'neuron 14090953', 'neuron 14474768', 'VisualVideo', 'projection neuron', 'neuron 14474744', 'Ipsilateral', 'neuron 14474804', 'LC4_Imported_Review', 'neuron 14072482', 'RIGHT HEMISPHERE', 'Postsynaptic to LC4']"
GF input neuron 308784 GMC MAR SMA JSP - unclassified type 76 - miscellaneous,308783,244,"['presynaptic to LC4', 'CardLab', 'UnknownTracts', 'GF1 input neuron', 'Input to GF1 lateral', 'SAD', 'projection neuron', 'Input to GF1 anterior', 'CAT-Ongoing', 'GCBR', 'Visual_Interneuron', 'VES_L', 'postsynaptic to JONeuron', 'Bilateral', 'Input to GF2 anterior', 'Heterolateral', 'WED_R', 'LEFT HEMISPHERE', 'LAL_R', 'Postsynaptic to LC4', 'Unclassified GF input neuron - miscellaneous', 'WED_L', 'GF2 input neuron', 'AVLP_R', 'AMMC_R', 'AL_R', 'contralateral', 'VES_R', 'PVLP_R', 'GNG', 'LAL_L', 'presynaptic to JO', 'Multi-Modal', 'Mechanosensory Interneuron', 'Postsynaptic to LPLC2', 'Unclassified GF input neuron - type 76', 'AMMC_L']"
putative LC4 neuron 309386 GMC SMA,309385,51,"['GF1 input neuron', 'putative LC4 neuron', 'RIGHT HEMISPHERE', 'CardLab', 'Postsynaptic to LPLC2', 'Visual', 'Import', 'v14-seg-li-190805.0 upload CATCard', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'neuron 14475241', 'neuron 14475229', 'LC4_Imported_Review', 'LCBR', 'LO_R', 'LOP_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'projection neuron', 'Unilateral', 'Homolateral', 'VPN', 'VisualVideo']"
GF input neuron 309456 GMC - unclassified type 120,309455,58,"['DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'RIGHT HEMISPHERE', 'Input to GF1 soma tract', 'no post-import review', 'GF input neuron 309456 GMC - unclassified type 120', 'neuron 14738176', 'Import', 'neuron 14738080', 'neuron 14738152', 'neuron 14737996', 'neuron 14738092', 'neuron 14738104', 'neuron 14738044', 'neuron 14738140', 'neuron 14738212', 'neuron 14738200', 'neuron 14738188', 'neuron 14738056', 'neuron 14738116', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14738224', 'neuron 14738068', 'neuron 14738020', 'neuron 14738032', 'neuron 14738008', 'neuron 14738164', 'neuron 14738128', 'Upstream of aIP-g', 'Postsynaptic to LC4', 'CAT-Ongoing', 'GF1 input neuron', 'Postsynaptic to LPLC2', 'CardLab', 'Input to GF1 lateral', 'ACBR', 'Visual_Interneuron', 'Unclassified GF input neuron - shared', 'AVLP_R', 'GOR_R', 'ICL_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'Unclassified GF input neuron - type 120']"
GF input neuron 310397 GMC SM SMA - unclassified type 5,310396,30,"['DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'GF1 input neuron', 'GF2 input neuron', 'CardLab', 'Postsynaptic to LC4', 'Input to GF1 lateral', 'Unclassified GF input neuron - type 5', 'Input to GF2 lateral', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'Bilateral', 'rALld', 'Postsynaptic to LPLC2', 'ACBR', 'GC', 'lALT_left_search1', 'Visual_Interneuron', 'AMMC_R', 'AVLP_R', 'EPA_R', 'ICL_R', 'GOR_R', 'PVLP_L', 'PLP_L', 'SPS_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'WED_R', 'Ipsilateral', 'projection neuron', 'Heterolateral']"
GF input neuron 310539 GMC SMA - unclassified type 30,310538,22,"['side: left', 'ItoLee_Lineage: ALl1', 'Hartenstein_Hemilineage: BAlc_ventral', 'Lineage_annotated', 'lALT_left_search1', 'GC', 'Hartenstein_Lineage: BAlc', 'ItoLee_Hemilineage: ALl1_ventral', 'BAlc L', 'Multi-Modal', 'LEFT HEMISPHERE', 'CAT-Ongoing', 'GF1 input neuron', 'Input to GF2 anterior', 'CardLab', 'Bilateral', 'GF2 input neuron', 'Input to GF1 lateral', 'Input to GF1 anterior', 'Postsynaptic to LC4', 'ACBR', 'presynaptic to LC4', 'Grey Herron Input 6717266 Pimms PDP', 'Visual_Interneuron', 'secondary_auditory_interneurons', 'Unclassified GF input neuron - type 30', 'AL_L', 'AMMC_R', 'EPA_L', 'IPS_R', 'WED_L', 'SPS_R', 'PLP_R', 'PVLP_R', 'SAD', 'VES_R', 'VES_L', 'WED_R', 'AMMC_L', 'Heterolateral', 'contralateral', 'projection neuron', 'Mechanosensory Interneuron']"
putative LC4 neuron 310807 GMC MAR SMA JSP,310806,46,"['Postsynaptic to LPLC2', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'GF1 input neuron', 'Input to GF1 lateral', 'Homolateral', 'LCBR', 'Unilateral', 'presynaptic to LC4', 'neuron 14522226', 'Postsynaptic to LC4', 'putative LC4 neuron', 'Visual', 'CardLab', 'LO-R', 'neuron 14475506', 'neuron 14475530', 'neuron 14475554', 'Import', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14475542', 'neuron 14475518', 'LC4_Imported_Review', 'LO_R', 'PVLP_R', 'WED_R', 'Blen12', 'Ipsilateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 858336 SM MAR JSP - unclassified type 58,858335,41,"['GF1 input neuron', 'LEFT HEMISPHERE', 'CAT-Ongoing', 'Bilateral', 'Input to GF1 lateral', 'Input to GF1 medial', 'Input to GF2 lateral', 'GF2 input neuron', 'Input to GF2 anterior', 'CardLab', 'ACBR', 'GC', 'Unclassified GF input neuron - type 58', 'Non-Visual_Interneuron', 'AVLP_L', 'EPA_L', 'EPA_R', 'GOR_R', 'IB_L', 'ICL_L', 'LAL_L', 'WED_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SAD', 'SPS_L', 'SPS_R', 'LO_L', 'AMMC_L', 'Input to GF1 soma tract', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 858358 SM SMA,858357,46,"['CardLab', 'Postsynaptic to LPLC2', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'CAT-Ongoing', 'Input to GF1 lateral', 'GF1 input neuron', 'putative LC4 neuron', 'RIGHT HEMISPHERE', 'presynaptic to LC4', 'Postsynaptic to LC4', 'Visual', 'Import', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14476007', 'LC4_Imported_Review', 'LCBR', 'LO-R', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 864635 MAR - unclassified type 58,864634,15,"['Input to GF2 medial', 'Bilateral', 'ICL_R', 'Downstream Grey Herron 10046873 PDP', 'ACBR', 'Postsynaptic to LC4', 'GOR_R', 'Input to GF1 lateral', 'Hartenstein_Lineage: DALv1', 'GF1 input neuron', 'presynaptic to DNp04', 'CardLab', 'Input to GF1 anterior', 'GF2 input neuron', 'RIGHT HEMISPHERE', 'DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'GC', 'DALv1', 'Input to GF2 soma tract', 'Visual_Interneuron', 'Unclassified GF input neuron - type 58', 'AMMC_R', 'AVLP_L', 'AVLP_R', 'EPA_L', 'EPA_R', 'IPS_R', 'GOR_L', 'IB_L', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'SPS_R', 'WED_R', 'projection neuron', 'Ipsilateral', 'Heterolateral']"
GF input neuron 867171 SM SMA JSP - unclassified type 9,867170,51,"['Hartenstein_Hemilineage: BAlp2', 'ItoLee_Hemilineage: new_clone_3', 'ItoLee_Lineage: new_clone_3', 'Hartenstein_Lineage: BAlp2', 'Lineage_annotated', 'BAlp2 R', 'ACBR', 'Unclassified GF input neuron - type 9', 'CardLab', 'Input to GF1 medial', 'rAVLPa', 'Input to GF1 anterior', 'RIGHT HEMISPHERE', 'GF1 input neuron', 'Input to GF1 lateral', 'CAT-Ongoing', 'Postsynaptic to LC4', 'Visual_Interneuron', 'AMMC_R', 'AOTU_R', 'AVLP_R', 'EPA_R', 'ICL_R', 'GOR_R', 'MB_PED_R', 'SCL_R', 'SIP_R', 'SLP_R', 'PVLP_R', 'SAD', 'WED_R', 'Homolateral', 'projection neuron', 'Ipsilateral', 'Unilateral']"
putative LC4 neuron 867282 SM,867281,53,"['RIGHT HEMISPHERE', 'CardLab', 'GF1 input neuron', 'putative LC4 neuron', 'Postsynaptic to LPLC2', 'presynaptic to LC4', 'Visual', 'v14-seg-li-190805.0 upload CATCard', 'LC4_Imported_Review', 'Import', 'neuron 14476471', 'neuron 14476435', 'neuron 14476459', 'neuron 14476447', 'LCBR', 'LO-R', 'Input to GF1 lateral', 'LO_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 867316 MAR SMA - unclassified type 68,867315,60,"['DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'CardLab', 'Bilateral', 'ACBR', 'presynaptic to LC4', 'GC', 'Postsynaptic to LPLC2', 'DALv1', 'GF1 input neuron', 'CAT-Ongoing', 'Input to GF1 lateral', 'RIGHT HEMISPHERE', 'Postsynaptic to LC4', 'presynaptic to DNp04', 'Visual_Interneuron', 'Unclassified GF input neuron - type 68', 'AVLP_L', 'AVLP_R', 'EPA_R', 'ICL_R', 'GOR_R', 'IB_L', 'PVLP_L', 'PLP_R', 'PVLP_R', 'SPS_L', 'SPS_R', 'Input to GF1 soma tract', 'Ipsilateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 867558 MAR,867557,47,"['RIGHT HEMISPHERE', 'CardLab', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'GF1 input neuron', 'putative LC4 neuron', 'Visual', 'v14-seg-li-190805.0 upload CATCard', 'Merged: Google: 10883339791', 'Merged: Google: 11013200026', 'Merged: Google: 7236049271', 'Import', 'neuron 14476793', 'neuron 14476805', 'neuron 14476781', 'neuron 14476829', 'neuron 14476817', 'LC4_Imported_Review', 'LCBR', 'LO_R', 'LOP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 867714 MAR JSP - unclassified type 58,867713,26,"['Bilateral', 'LEFT HEMISPHERE', 'Input to GF1 lateral', 'Input to GF2 lateral', 'CardLab', 'GF1 input neuron', 'Input to GF1 medial', 'GF2 input neuron', 'Postsynaptic to LC4', 'ACBR', 'GC', 'Visual_Interneuron', 'Unclassified GF input neuron - type 58', 'AVLP_L', 'EPA_L', 'EPA_R', 'GA_L', 'GOR_L', 'GOR_R', 'IB_L', 'ICL_L', 'LAL_L', 'WED_L', 'PVLP_L', 'PLP_L', 'PVLP_R', 'SAD', 'SPS_L', 'SPS_R', 'LO_L', 'AMMC_L', 'Input to GF1 soma tract', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 867787 SM JSP,867786,37,"['putative LC4 neuron', 'RIGHT HEMISPHERE', 'CardLab', 'Postsynaptic to LPLC2', 'Visual', 'neuron 14477241', 'neuron 14477169', 'ReiserLab', 'neuron 14477181', 'neuron 14477217', 'Import', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14477229', 'neuron 14477193', 'neuron 14477205', 'LC4_Imported_Review', 'IDu', 'CAT-Ongoing', 'presynaptic to DNp04', 'LCBR', 'GF1 input neuron', 'LO-R', 'Input to GF1 lateral', 'AVLP_R', 'LO_R', 'PLP_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
putative LC4 neuron 872673 SM SMA,872672,65,"['RIGHT HEMISPHERE', 'CardLab', 'CAT-Ongoing', 'LO-R', 'GF1 input neuron', 'putative LC4 neuron', 'Visual', 'neuron 14477692', 'Postsynaptic to LPLC2', 'neuron 14477680', 'Import', 'LC4_Imported_Review', 'neuron 14477704', 'v14-seg-li-190805.0 upload CATCard', 'LCBR', 'LC4 Exploration', 'presynaptic to DNp04', 'Input to GF1 lateral', 'AVLP_R', 'LO_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
putative LC4 neuron 873665 MAR,873664,38,"['GF1 input neuron', 'putative LC4 neuron', 'RIGHT HEMISPHERE', 'CardLab', 'Postsynaptic to LPLC2', 'Postsynaptic to LC4', 'Visual', 'neuron 6647005', 'neuron 14478061', 'Import', 'neuron 14356279', 'neuron 14478085', 'neuron 14344746', 'neuron 14344659', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14478073', 'LC4_Imported_Review', 'LCBR', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'CVid', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
putative LC4 neuron 873700 MAR SMA,873699,46,"['GF1 input neuron', 'putative LC4 neuron', 'RIGHT HEMISPHERE', 'CardLab', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'Postsynaptic to LPLC2', 'Visual', 'Import', 'neuron 14478436', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14478448', 'LC4_Imported_Review', 'LCBR', 'AVLP_R', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
putative LC4 neuron 873721 MAR SMA,873720,54,"['RIGHT HEMISPHERE', 'CardLab', 'Postsynaptic to LPLC2', 'LO-R', 'CAT-Ongoing', 'Input to GF1 lateral', 'GF1 input neuron', 'putative LC4 neuron', 'Visual', 'neuron 14478854', 'LOP-R', 'Import', 'LC4_Imported_Review', 'neuron 14478830', 'neuron 14478842', 'v14-seg-li-190805.0 upload CATCard', 'LCBR', 'LO_R', 'PLP_R', 'PVLP_R', 'CVid', 'Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'VPN', 'VisualVideo']"
GF input neuron 873737 MAR JSP - unclassified type 5,873736,2,"['LEFT HEMISPHERE', 'CardLab', 'Bilateral', 'Input to GF1 lateral', 'GF1 input neuron', 'CAT-Ongoing', 'ACBR', 'GC', 'Non-Visual_Interneuron', 'Unclassified GF input neuron - type 5', 'AVLP_L', 'AVLP_R', 'EPA_L', 'FB', 'GOR_L', 'IB_L', 'ICL_L', 'LAL_L', 'PVLP_L', 'PVLP_R', 'SPS_L', 'SPS_R', 'LO_L', 'contralateral', 'Heterolateral', 'projection neuron']"
GF input neuron 873761 MAR JSP - unclassified  type 10,873760,135,"['CardLab', 'EPA_R', 'CAT-Ongoing', 'GOR_L', 'Input to GF2 medial', 'Bilateral', 'Unclassified GF input neuron - type 10', 'Hartenstein_Lineage: BLVp1', 'Mechanosensory Interneuron', 'SCL_R', 'AMMC_R', 'Type 10a', 'Multi-Modal', 'PLP_R', 'GF2 input neuron', 'SPS_L', 'SPS_R', 'AVLP_R', 'GOR_R', 'Heterolateral', 'Postsynaptic to LC4', 'Ipsilateral', 'IPS_R', 'Input to GF1 medial', 'ICL_R', 'RIGHT HEMISPHERE', 'Input to GF1 lateral', 'WED_R', 'GF1 input neuron', 'ItoLee_Lineage: VLPl&p2', 'Postsynaptic to LPLC2', 'Input to GF1 anterior', 'Lineage_annotated', 'Hartenstein_Hemilineage: BLVp1_posterior', 'ItoLee_Hemilineage: VLPl&p2_posterior', 'BLVp1 p', 'GC', 'PCBR', 'Visual_Interneuron', 'postsynaptic to JONeuron', 'IB_L', 'PVLP_R', 'SAD', 'VES_R', 'Input to GF1 soma tract', 'projection neuron']"
GF input neuron 874166 MAR SMA - unclassified type 1,874165,36,"['DPLam R', 'Mechanosensory Interneuron', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'RIGHT HEMISPHERE', 'Lineage_annotated', 'ItoLee_Hemilineage: VLPd1', 'postsynaptic to JONeuron', 'Hartenstein_Hemilineage: DPLam', 'Hartenstein_Lineage: DPLam', 'Putative_Neurotransmitter: NA', 'ItoLee_Lineage: VLPd1', 'ACBR', 'CAT-Ongoing', 'Unclassified GF input neuron - type 1', 'Input to GF1 medial', 'CardLab', 'LHN_JUNE_2017_NON_PN', 'Input to GF1 anterior', 'GF1 input neuron', 'AMMC_R', 'AOTU_R', 'GNG', 'AVLP_R', 'EPA_R', 'IPS_R', 'GOR_R', 'ICL_R', 'SCL_R', 'MB_whole_R', 'PLP_R', 'SIP_R', 'SLP_R', 'PVLP_R', 'SAD', 'VES_R', 'SPS_R', 'WED_R', 'Ipsilateral', 'Homolateral', 'projection neuron', 'Unilateral']"
putative LPLC2 neuron 874196 MAR,874195,23,"['GF1 input neuron', 'RIGHT HEMISPHERE', 'CardLab', 'LPLC2', 'LO-R', 'LOP-R', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'Postsynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PVLP_R', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
putative LPLC2  neuron 874204 MAR JSP,874203,36,"['LHN_JUNE_2017', 'Postsynaptic to T4/T5', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'LPLC2', 'CardLab', 'LO-R', 'LHN_JUNE_2017_NON_PN', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Visual', 'LCBR', 'LO_R', 'LOP_R', 'ME_R', 'PVLP_R', 'CVid', 'Ipsilateral', 'Unilateral', 'projection neuron', 'Homolateral', 'VPN', 'VisualVideo']"
